Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Ecuador,CAIT,Total including LUCF,All GHG,MtCO₂e,97.99,98.95,100.43,101.7,100.85,97.97,96.66,95.69,92.9,89.55,88.29,88.16,85.73,84.15,81.49,80.9,80.58,84.68,85.47,88.1,89.18,87.13,83.79,80.67,79.07,79.3,77.04,76.19
Qatar,CAIT,Total including LUCF,All GHG,MtCO₂e,97.65,94.98,93.05,89.53,83.26,81.42,73.72,69.34,63.42,60.66,56.38,49.05,44.85,35.56,32.03,30.5,26.17,24.23,25.37,23.13,21.69,20.05,19.1,18.23,17.34,16.42,16.24,14.08
Afghanistan,CAIT,Total including LUCF,All GHG,MtCO₂e,97.36,95.41,93.76,84.62,74.8,66.76,58.66,44.97,36.96,31.59,24.88,21.04,17.41,16.54,16.94,16.13,13.49,15.08,16.91,16.1,15.34,14.44,13.49,13.29,13.48,13.65,15.12,15.2
Libya,CAIT,Total including LUCF,All GHG,MtCO₂e,96.44,86.54,84.88,102.27,109.15,117.93,115.16,145.81,141.57,138.42,132.52,134.75,133.59,127.32,123.42,120.15,115.37,111.3,109.46,111.01,109.57,109.81,107.57,105.69,100.49,99.77,102.72,105.32
Morocco,CAIT,Total including LUCF,All GHG,MtCO₂e,91.66,88.05,88.32,85.59,83.79,82.98,80.71,77.75,73.95,73.36,70.4,69.16,56.34,53.45,48.9,48.63,46.83,43.67,42.56,40.38,39.46,37.5,36.82,36.2,33.09,33.4,32.28,30.88
Israel,CAIT,Total including LUCF,All GHG,MtCO₂e,91.03,89.35,89.43,87.08,88.48,96.64,89.51,89.32,83.87,84.29,83.61,80.42,76.03,77.37,76.27,75.45,73.44,73.72,68.85,66.66,65.29,62.27,59.17,55.34,52.01,47.95,45.17,44.09
Greece,CAIT,Total including LUCF,All GHG,MtCO₂e,86.06,86.34,87.37,89.14,92.33,99.9,105.13,107.41,114.15,121.37,125.15,121.59,123.23,121.19,121.43,118.11,117.99,117.22,111.53,110.67,106.37,105.27,104.25,99.86,97.23,96.86,94.78,94.68
Belarus,CAIT,Total including LUCF,All GHG,MtCO₂e,82.27,80.62,84.13,88.06,87.01,88.34,84.5,61.39,57.15,59.64,55.57,58.42,62.53,61.41,60.26,64.64,58.04,66.7,69.4,71.73,73.68,73.38,73.8,81.89,94.93,107.71,120.94,126
Uganda,CAIT,Total including LUCF,All GHG,MtCO₂e,82.14,81.13,79.22,76.67,75.09,73.8,71.59,69.9,67.75,66.31,57.94,57.04,54.9,51.67,50.89,47.43,44.03,45.4,45.35,46,43.54,42.54,42.34,41.57,41.82,41.38,41.05,40.5
Oman,CAIT,Total including LUCF,All GHG,MtCO₂e,78.49,77.82,76.26,72.07,68.25,65.31,58.67,52.42,48.39,45.48,46.17,42.4,32.49,32.09,32.24,31.49,29.86,27.09,24.85,21.51,21.28,19.69,19.32,17.38,17.47,18.13,19.16,14.78
Central African Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,76.04,75.62,70.72,67.55,67.22,63.85,66.47,62.11,58.08,64.74,61.97,60.35,61.92,59.66,64.8,57.14,60.89,66.24,64.63,67.98,62.39,58.72,57.51,56.94,54,53.52,53.04,52.28
Botswana,CAIT,Total including LUCF,All GHG,MtCO₂e,76.03,69.97,131.82,34.31,66.36,34.16,47.85,37.57,28.27,46.17,83.81,41.56,79.22,30.21,89.43,148.35,55.5,68.33,80.47,95.96,86.58,75.65,61.78,60.85,60.58,60.89,60.63,61.19
Mozambique,CAIT,Total including LUCF,All GHG,MtCO₂e,75.4,74.1,75.48,74.95,73.18,70.57,69.04,63.02,60.32,62.79,61.05,58.97,67.15,64.7,66.53,67.78,74.59,55.32,57.7,58.9,56.18,58.45,61.21,60.97,61,60.6,60.26,60.28
Portugal,CAIT,Total including LUCF,All GHG,MtCO₂e,72.87,68.45,69.16,64.96,65.57,67.16,68.8,68.14,73.24,74.02,76.3,77.77,89.69,85.65,84.39,88.77,83.9,80.29,80.8,74.04,68.88,66.59,68.29,64.52,62.61,63.69,59.67,57.96
Austria,CAIT,Total including LUCF,All GHG,MtCO₂e,72.79,70.62,70.44,69.31,73.08,72.53,75.75,78.41,72.69,79.66,80.08,83.17,82.56,82.54,82.93,77.04,75.31,66.24,66.03,67.85,67.87,68.88,65.17,62.69,62.6,62.68,68.47,64.26
